団体コード	都道府県名	市区町村名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道		男	2606676	104050	111815	121226	129150	131988	144546	166684	196798	176165	167832	169179	196789	226553	162276	143104	123577	134944
011002	北海道	札幌市	男	892617	36878	37751	40596	43582	51722	57340	64709	74546	67377	61000	57550	64321	73988	51159	40807	33294	35997
011011	北海道	札幌市中央区	男	96386	3913	3779	3901	3913	5876	7596	7908	8649	8260	7428	6496	6309	7062	4669	3655	3197	3775
011029	北海道	札幌市北区	男	131112	5471	5828	6441	6566	8531	7912	9010	10825	9702	8674	8210	9622	10753	7498	6150	4756	5163
011037	北海道	札幌市東区	男	121027	5280	5221	5497	5702	6917	8349	9442	10961	9491	7977	7427	8479	9657	6606	5186	4222	4613
011045	北海道	札幌市白石区	男	97950	4342	3881	3927	4224	5416	7304	8509	9281	8061	6880	6079	6418	7562	5051	4156	3370	3489
011053	北海道	札幌市豊平区	男	98605	4177	3894	4038	4455	5955	7169	7967	8857	7947	6841	6014	6403	7493	5308	4256	3763	4068
011061	北海道	札幌市南区	男	67821	2223	2607	3043	3647	3988	3528	3724	4360	4256	4448	4516	5360	6546	4659	3909	3389	3618
011070	北海道	札幌市西区	男	98242	4175	4188	4449	4624	4774	6024	7207	8300	7374	6817	6344	7149	8238	5811	4686	3890	4192
011088	北海道	札幌市厚別区	男	60002	2204	2569	3011	3375	3493	3235	3551	4318	4180	4110	4132	4629	5354	3910	3113	2439	2379
011096	北海道	札幌市手稲区	男	66526	2729	3024	3298	3768	3665	3667	4261	4966	4295	3994	4413	5449	6336	4349	3251	2355	2706
011100	北海道	札幌市清田区	男	54946	2364	2760	2991	3308	3107	2556	3130	4029	3811	3831	3919	4503	4987	3298	2445	1913	1994
012025	北海道	函館市	男	127999	4736	5198	5961	6376	5951	6506	7620	9235	8376	7761	8278	9973	12100	8688	7685	6466	7089
012033	北海道	小樽市	男	59633	1860	2169	2473	2797	2638	2654	3182	3941	3667	3499	3561	4632	6210	4698	4025	3667	3960
012041	北海道	旭川市	男	164139	6709	7122	7517	7772	7479	9018	10615	11926	10608	9914	10284	12382	14949	11131	9595	8276	8842
012050	北海道	室蘭市	男	45265	1618	1795	1869	2081	2794	2350	2483	3308	2725	2438	2544	3388	4209	3425	3144	2535	2559
012068	北海道	釧路市	男	87151	3495	3804	3915	4381	4049	4354	5343	6492	5714	5453	5803	7110	7869	5720	5240	4318	4091
012076	北海道	帯広市	男	80750	3561	3598	3903	4115	4318	4811	5289	6329	5482	5377	5481	5830	6564	4538	4177	3665	3712
012084	北海道	北見市	男	59497	2398	2570	2866	3045	2861	2977	3808	4498	3788	3795	3932	4412	5163	3691	3383	3054	3256
012092	北海道	夕張市	男	5070	102	103	149	167	162	163	215	254	271	268	298	457	510	388	490	489	584
012106	北海道	岩見沢市	男	42137	1524	1714	1994	2131	1972	2088	2326	2877	2489	2605	2888	3207	3988	2747	2599	2332	2656
012114	北海道	網走市	男	19257	844	873	918	1017	1171	1042	1207	1468	1220	1230	1279	1434	1604	1135	1011	859	945
012122	北海道	留萌市	男	11729	469	429	466	490	504	633	709	851	762	797	802	949	1042	788	758	633	647
012131	北海道	苫小牧市	男	84754	3890	4044	4092	4226	4327	5182	5869	7067	5641	5358	5297	6784	7318	5047	4186	3165	3261
