団体コード	都道府県名	市区町村名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道		計	5463045	196984	210418	228693	246305	248985	274764	308636	370430	390140	351678	348004	360317	462914	393103	342216	292879	433780
011002	北海道	札幌市	計	1930496	72849	74112	78470	85627	99205	116240	126954	145988	153566	134821	126614	123784	153674	128399	104342	83579	122272
011011	北海道	札幌市中央区	計	224400	8160	7752	7877	8400	12569	16877	17182	18539	19895	17636	15513	13415	15342	12852	10170	8658	13563
011029	北海道	札幌市北区	計	281041	10559	11632	12249	13183	16253	16333	17593	20962	22080	18878	17689	17740	22671	18614	15332	11956	17317
011037	北海道	札幌市東区	計	257485	10570	10017	10658	11373	13285	16634	18302	20585	21259	17492	15814	15732	19888	16453	13603	10478	15342
011045	北海道	札幌市白石区	計	209267	8655	7804	7727	8303	10387	14465	15948	17811	17813	15206	13483	12450	15237	12581	10537	8714	12146
011053	北海道	札幌市豊平区	計	217134	8386	7782	7951	8805	11700	15147	16275	17410	18125	15558	14099	12859	15589	13401	10982	9444	13621
011061	北海道	札幌市南区	計	142908	4351	4921	5619	6865	7008	6548	6959	8437	9276	9114	9641	10136	13161	11500	9580	7994	11798
011070	北海道	札幌市西区	計	211636	8229	8092	8520	9093	9312	11752	13993	16068	16829	15034	13837	13608	16993	14435	12014	9655	14172
011088	北海道	札幌市厚別区	計	129979	4248	4778	5623	6586	6234	6563	6769	8406	9661	9098	9200	9344	11325	9742	7910	6177	8315
011096	北海道	札幌市手稲区	計	141189	5333	5954	6318	6826	6833	6878	8042	9945	9970	8748	9142	10046	13211	10714	8117	5908	9204
011100	北海道	札幌市清田区	計	115457	4358	5380	5928	6193	5624	5043	5891	7825	8658	8057	8196	8454	10257	8107	6097	4595	6794
012025	北海道	函館市	計	274485	8777	9423	10770	12126	11191	12462	14092	17288	18953	17179	16989	18856	24877	21479	19039	16463	24521
012033	北海道	小樽市	計	127224	3479	3901	4670	5248	5168	4789	5487	7191	8033	7609	7464	8275	12206	11301	9981	8833	13589
012041	北海道	旭川市	計	349057	12469	13581	14508	14973	14588	16772	19301	23494	24168	21686	21325	23154	30416	26932	23310	19663	28717
012050	北海道	室蘭市	計	91276	2986	3175	3659	3808	4395	4067	4383	5489	6016	5102	4929	5439	8277	7511	7468	6134	8438
012068	北海道	釧路市	計	180160	6268	7088	7480	8089	7739	8293	9344	12083	12418	11285	11455	12390	16510	13510	12225	10325	13658
012076	北海道	帯広市	計	169104	6952	6832	7279	7997	8383	9319	10070	11796	12277	10997	11074	11247	13526	11284	9979	8507	11585
012084	北海道	北見市	計	123401	4493	4745	5235	5676	5369	5656	6803	8329	8489	7611	8043	8046	10654	9164	7926	6929	10233
012092	北海道	夕張市	計	9801	173	205	225	284	256	232	321	415	454	502	518	688	961	874	988	1076	1602
012106	北海道	岩見沢市	計	87284	2842	3151	3572	3991	3766	3706	4106	5270	5669	5185	5793	6153	7821	6788	5970	5458	8043
012114	北海道	網走市	計	38240	1553	1530	1659	1715	2107	1786	2118	2581	2558	2267	2536	2581	3189	2780	2289	2035	2956
012122	北海道	留萌市	計	23451	844	865	814	923	836	999	1230	1500	1549	1422	1489	1623	2129	1899	1787	1499	2043
012131	北海道	苫小牧市	計	174469	7572	7658	7987	8119	7918	9449	10802	12898	12915	11005	10520	11556	15275	12109	9872	7823	10991
012149	北海道	稚内市	計	37248	1423	1481	1559	1425	1518	1756	1985	2511	2622	2486	2475	2620	3361	2728	2445	2161	2692
012157	北海道	美唄市	計	24488	595	693	876	1059	883	877	1037	1272	1446	1412	1540	1675	2358	2049	1932	1798	2944
012165	北海道	芦別市	計	15870	344	384	530	630	540	437	568	754	830	845	992	1054	1526	1470	1396	1377	2193
012173	北海道	江別市	計	120805	3821	4691	5568	6791	6979	5268	5686	7351	8355	8203	8519	8794	10310	8555	7174	6004	8736
012181	北海道	赤平市	計	11711	237	305	403	427	338	359	425	521	611	609	762	742	1226	1058	1086	1078	1524
012190	北海道	紋別市	計	24039	794	845	930	965	881	1103	1252	1384	1549	1492	1633	1634	2168	1879	1733	1573	2224
012203	北海道	士別市	計	21075	639	761	882	907	670	762	930	1175	1244	1239	1331	1381	1860	1682	1614	1551	2409
012211	北海道	名寄市	計	29542	1217	1195	1185	1285	1397	1579	1775	1961	1900	1652	1748	1786	2339	2143	1891	1778	2711
012220	北海道	三笠市	計	9699	185	265	248	368	304	291	336	441	479	448	530	594	939	857	980	931	1491
012238	北海道	根室市	計	28549	981	1115	1195	1352	1276	1322	1397	1705	1891	1893	1907	1939	2486	2072	2053	1802	2163
012246	北海道	千歳市	計	95481	4643	4574	4643	5077	5891	6403	6824	7531	7566	6427	5722	5264	6616	5429	4504	3700	4667
012254	北海道	滝川市	計	42294	1464	1537	1734	1949	1811	1854	2095	2621	2808	2665	2608	2740	3771	3261	3032	2658	3686
012262	北海道	砂川市	計	18444	558	641	786	773	739	819	842	1023	1097	1010	1119	1234	1605	1453	1417	1332	1968
012271	北海道	歌志内市	計	4033	62	95	121	124	114	106	152	194	185	185	250	272	431	367	395	337	630
012289	北海道	深川市	計	22705	623	675	798	977	887	710	959	1215	1304	1327	1389	1505	2059	1892	1919	1749	2717
