団体コード	都道府県名	市区町村名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道		女	2878510	96386	102984	112174	120658	123766	137539	154870	186208	197750	182219	179586	186254	243680	211807	191274	167627	281539
011002	北海道	札幌市	女	1024636	35681	36401	38611	42386	50993	60547	65594	75072	79286	70966	66570	65156	81305	68937	58185	48633	80313
011011	北海道	札幌市中央区	女	122720	3978	3795	3930	4251	6964	9136	9113	9892	10719	9562	8224	7141	8280	7171	6025	5329	9210
011029	北海道	札幌市北区	女	147539	5153	5761	5979	6439	8064	8454	8965	10756	11203	9807	9152	9191	11864	10021	8442	6932	11356
011037	北海道	札幌市東区	女	134763	5284	4941	5220	5547	6784	8498	9319	10305	10655	9028	8086	8059	10441	8808	7635	6070	10083
011045	北海道	札幌市白石区	女	109349	4109	3915	3810	4097	5272	7437	8098	8955	8993	7696	6889	6434	7979	6594	5924	5142	8005
011053	北海道	札幌市豊平区	女	115900	4067	3775	3965	4312	6137	7933	8566	8932	9285	8129	7541	6760	8443	7310	6288	5528	8929
011061	北海道	札幌市南区	女	76224	2117	2415	2738	3397	3398	3247	3585	4377	4834	4897	5164	5466	6997	6186	5283	4566	7557
011070	北海道	札幌市西区	女	113273	4013	4009	4168	4543	4984	6236	7296	8320	8762	8003	7312	7225	8987	7785	6738	5613	9279
011088	北海道	札幌市厚別区	女	70012	2159	2295	2827	3278	3197	3447	3481	4408	5213	4966	5012	5156	5970	5386	4313	3560	5344
011096	北海道	札幌市手稲区	女	74352	2660	2861	3070	3366	3367	3529	4067	5082	5164	4666	4869	5313	7012	5562	4334	3303	6127
011100	北海道	札幌市清田区	女	60504	2141	2634	2904	3156	2826	2630	3104	4045	4458	4212	4321	4411	5332	4114	3203	2590	4423
012025	北海道	函館市	女	149155	4350	4543	5147	5799	5673	6330	7234	8878	9830	9203	9174	10139	13357	11874	11027	9863	16734
012033	北海道	小樽市	女	69730	1735	1939	2291	2562	2629	2420	2762	3662	4161	4093	3989	4413	6608	6258	5686	5254	9268
012041	北海道	旭川市	女	186702	6101	6628	7092	7356	7638	8553	9788	11924	12591	11615	11349	12201	16297	14748	13035	11140	18646
012050	北海道	室蘭市	女	47438	1465	1584	1836	1807	1755	1809	2127	2626	2933	2561	2523	2696	4332	4165	4115	3532	5572
012068	北海道	釧路市	女	95174	3027	3490	3739	4016	3875	4190	4804	6042	6268	5775	5887	6422	8783	7277	6835	5905	8839
012076	北海道	帯広市	女	88179	3369	3339	3527	3993	4258	4595	4939	5944	6169	5656	5746	5733	7150	6168	5539	4836	7218
