平成28年1月1日住民基本台帳年齢階級別人口（市区町村別）（総計）※年齢階級別の外国人住民数が非公表となる市区町村がある場合や年齢不詳者がいる場合は、各年齢階級の合計と総数が一致しないことがあります。	Column	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25
団体コード	都道府県名	市区町村名	性別	総数	0～4歳	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～84	85～89	90～94	95～99	100歳以上
	合計		計	1.28066211E8	5178868	5470003	5672936	6061741	6296779	6744573	7594361	8518898	9959617	8868978	8112772	7571551	8393347	9880118	7562549	6283122	4985989	3106534	1371229	370096	62085
	合計		男	6.2464685E7	2654125	2805336	2907523	3105097	3227543	3457088	3870646	4337775	5061058	4486719	4078198	3777037	4141310	4788981	3515913	2785544	1999716	1052490	339767	64868	7931
	合計		女	6.5601526E7	2524743	2664667	2765413	2956644	3069236	3287485	3723715	4181123	4898559	4382259	4034574	3794514	4252037	5091137	4046636	3497578	2986273	2054044	1031462	305228	54154
010006	北海道		男	2552868	97142	105649	112299	121547	122177	128145	145798	169305	197014	172387	168473	167169	194991	211467	149489	123333	94937	50614	16628	3257	411
011002	北海道	札幌市	男	909496	37148	38277	39265	42318	47415	52278	58938	66649	75965	66659	61631	57777	65352	70020	47590	35623	26496	14346	4704	927	118
011011	北海道	札幌市中央区	男	104402	4288	4092	4076	4232	5724	7385	8073	8446	9288	8561	7654	6711	6584	6846	4333	3292	2650	1565	489	105	8
011029	北海道	札幌市北区	男	134306	5461	5956	6170	6737	8058	7392	8314	9533	11271	9612	8851	8246	9692	10194	6948	5322	3769	1982	659	120	19
011037	北海道	札幌市東区	男	123665	5300	5227	5254	5760	6528	7691	8678	9589	10924	9146	8022	7422	8565	9058	6158	4498	3328	1774	613	118	12
011045	北海道	札幌市白石区	男	100392	4506	3975	3895	4125	5150	6720	7389	8302	8975	7878	6986	6119	6502	7029	4696	3542	2672	1415	406	96	14
011053	北海道	札幌市豊平区	男	101876	4381	4054	3964	4305	5531	6931	7512	7937	8931	7839	6903	6092	6517	7060	4938	3729	3016	1562	577	85	12
011061	北海道	札幌市南区	男	65497	2211	2434	2743	3246	3333	3010	3215	3772	4415	4115	4441	4468	5433	6212	4299	3436	2688	1460	456	97	13
011070	北海道	札幌市西区	男	98408	4218	4139	4323	4466	4294	5098	6291	7302	8250	7281	6730	6252	7225	7685	5351	4094	3056	1646	575	118	14
011088	北海道	札幌市厚別区	男	59476	2073	2460	2708	3108	2869	2854	3120	3718	4441	4179	4124	4113	4787	5149	3716	2803	1916	995	291	47	5
011096	北海道	札幌市手稲区	男	66773	2647	3115	3201	3423	3303	3013	3734	4580	5111	4214	4113	4498	5508	6016	4054	2808	1852	1100	397	79	7
011100	北海道	札幌市清田区	男	54701	2063	2825	2931	2916	2625	2184	2612	3470	4359	3834	3807	3856	4539	4771	3097	2099	1549	847	241	62	14
012025	北海道	函館市	男	122413	4217	4684	5237	6079	5418	5544	6499	7663	9156	8148	7773	8090	9945	11226	7934	6387	4875	2535	822	163	18
012033	北海道	小樽市	男	55515	1617	1931	2197	2536	2373	2113	2471	3080	3915	3559	3496	3521	4625	5813	4213	3408	2688	1421	451	78	9
012041	北海道	旭川市	男	160453	6045	6841	7136	7409	6990	7659	8936	10692	11920	10335	9974	10197	12475	14120	10317	8299	6473	3309	1094	205	27
012050	北海道	室蘭市	男	42530	1464	1525	1719	1987	2500	2140	2187	2387	3218	2566	2457	2458	3235	3831	3094	2628	1886	911	278	53	6
012068	北海道	釧路市	男	83219	3016	3432	3611	3958	3855	3814	4330	5366	6316	5465	5409	5684	6776	7222	5178	4486	3237	1481	508	67	7
012076	北海道	帯広市	男	80377	3462	3517	3583	3861	4003	4543	4922	5473	6312	5328	5420	5355	5762	6104	4258	3609	2805	1494	455	98	13
012084	北海道	北見市	男	57506	2155	2351	2508	2757	2772	2635	3049	3917	4406	3696	3820	3892	4380	4846	3355	2937	2360	1203	378	80	9
012092	北海道	夕張市	男	4232	68	86	89	133	133	128	151	199	228	250	257	293	424	440	333	396	340	200	61	21	0
012106	北海道	岩見沢市	男	39689	1356	1558	1695	1918	1806	1725	1916	2302	2834	2401	2603	2852	3243	3667	2520	2200	1759	954	316	61	3
012114	北海道	網走市	男	18331	745	782	821	910	1119	884	1006	1176	1417	1157	1200	1235	1339	1484	1032	875	650	338	124	33	4
012122	北海道	留萌市	男	10714	371	395	384	453	421	467	595	655	817	726	765	740	848	963	678	646	472	239	57	21	1
012131	北海道	苫小牧市	男	84849	3860	3879	4011	4003	3918	4612	5352	6024	7095	5563	5340	5270	6722	6757	4650	3572	2439	1314	396	64	8
012149	北海道	稚内市	男	17719	725	711	755	713	698	877	1017	1134	1467	1236	1279	1248	1416	1475	1007	895	665	307	79	13	2
012157	北海道	美唄市	男	11061	265	344	424	497	447	411	482	580	737	685	742	794	942	1089	814	682	609	364	108	19	3
012165	北海道	芦別市	男	6844	164	175	230	296	279	213	242	316	419	372	450	449	621	672	623	530	464	233	76	13	0
012173	北海道	江別市	男	56799	1962	2317	2614	3230	3429	2492	2793	3189	4128	3862	3979	4033	4668	4717	3326	2605	1936	1053	377	80	9
012181	北海道	赤平市	男	5051	100	154	168	186	187	166	187	218	289	262	320	379	440	552	425	436	359	162	46	11	4
012190	北海道	紋別市	男	10952	414	405	434	471	417	512	614	701	733	703	778	821	873	953	722	589	496	241	63	10	2
012203	北海道	士別市	男	9549	292	378	405	448	372	365	439	536	605	572	589	706	733	826	666	632	557	293	104	29	2
012211	北海道	名寄市	男	13966	631	596	570	625	710	781	905	975	943	871	877	866	938	1100	816	725	576	319	116	21	5
012220	北海道	三笠市	男	4176	93	122	132	169	148	173	161	224	258	219	221	268	359	414	370	332	271	163	56	11	0
012238	北海道	根室市	男	13218	478	549	592	609	600	692	702	790	979	901	922	902	1029	1072	818	714	529	256	65	18	1
012246	北海道	千歳市	男	48744	2313	2371	2401	2698	3353	3286	3508	3605	4101	3552	3062	2662	2894	3053	2043	1790	1244	626	152	29	1
012254	北海道	滝川市	男	19617	684	807	904	994	901	849	984	1229	1422	1276	1305	1294	1426	1756	1241	1082	887	409	133	28	6
012262	北海道	砂川市	男	8246	229	307	347	403	350	363	400	454	543	456	534	543	643	772	580	531	456	225	76	21	2
012271	北海道	歌志内市	男	1707	32	38	54	48	56	35	71	85	104	83	117	121	187	196	161	140	98	55	22	3	0
012289	北海道	深川市	男	10214	309	336	367	473	437	376	450	549	610	596	691	726	788	950	775	742	583	329	104	18	5
012297	北海道	富良野市	男	10855	427	450	505	535	436	501	572	657	802	759	754	753	802	850	605	608	494	240	87	13	5
012301	北海道	登別市	男	23853	824	983	1063	1158	1137	1041	1113	1501	1789	1462	1408	1461	1914	2170	1719	1436	980	514	135	43	2
012319	北海道	恵庭市	男	33629	1329	1580	1707	1891	1869	1695	1889	2314	2606	2397	2188	2070	2417	2546	1737	1464	1128	613	159	25	5
012335	北海道	伊達市	男	16574	584	698	789	754	686	633	762	982	1272	1013	969	1052	1326	1521	1112	990	821	416	156	29	9
012343	北海道	北広島市	男	28566	932	1286	1509	1559	1300	1089	1308	1759	2252	2040	1841	1903	2297	2599	1875	1406	915	485	180	30	1
012351	北海道	石狩市	男	28609	1010	1348	1471	1396	1173	1091	1461	1939	2256	1898	1767	1672	2381	2908	1905	1331	879	514	174	28	7
012360	北海道	北斗市	男	22405	909	1101	1231	1246	904	939	1201	1484	1894	1611	1560	1454	1715	1761	1203	967	716	376	118	15	0
013030	北海道	石狩郡当別町	男	8201	165	244	373	461	471	358	329	371	515	546	686	701	724	710	536	440	314	161	68	9	2
013048	北海道	石狩郡新篠津村	男	1559	57	64	64	82	71	70	67	87	109	91	112	120	117	126	86	92	76	47	15	5	0
013315	北海道	松前郡松前町	男	3805	73	88	115	136	95	102	126	188	272	265	250	264	387	419	308	302	230	133	45	4	1
013323	北海道	松前郡福島町	男	2113	38	39	69	81	61	65	81	110	118	125	121	169	246	225	174	171	127	64	21	3	0
013331	北海道	上磯郡知内町	男	2268	62	95	98	92	95	113	112	117	130	125	149	180	219	224	135	130	115	57	14	4	1
013340	北海道	上磯郡木古内町	男	2106	34	48	64	82	69	71	77	81	131	111	157	149	226	202	179	172	156	64	28	3	0
013374	北海道	亀田郡七飯町	男	13183	489	568	665	675	483	480	646	798	974	869	854	856	1119	1240	862	666	553	258	102	15	2
013439	北海道	茅部郡鹿部町	男	1979	60	86	68	80	81	75	100	99	118	123	128	142	163	217	173	144	65	39	14	3	0
013455	北海道	茅部郡森町	男	7783	251	299	383	370	259	316	381	445	577	530	478	538	666	764	498	448	336	178	56	10	0
013463	北海道	二海郡八雲町	男	8521	312	338	367	359	366	434	482	567	615	527	578	621	688	744	478	414	315	203	91	14	8
013471	北海道	山越郡長万部町	男	2830	77	74	85	286	162	98	112	141	160	131	166	183	241	251	159	168	167	122	39	8	0
013617	北海道	檜山郡江差町	男	3945	117	138	173	149	154	159	201	256	331	265	258	314	326	318	242	235	174	95	29	6	0
013625	北海道	檜山郡上ノ国町	男	2469	73	67	118	116	70	76	93	137	152	148	168	176	225	268	173	163	153	67	20	3	0
013633	北海道	檜山郡厚沢部町	男	1998	74	73	90	65	51	66	89	121	111	113	135	146	187	188	127	139	120	66	29	3	0
013641	北海道	爾志郡乙部町	男	1837	52	62	82	69	58	54	75	96	117	108	103	131	173	172	133	163	115	56	15	3	0
013676	北海道	奥尻郡奥尻町	男	1482	47	39	51	52	71	116	84	85	91	102	89	107	117	119	88	88	90	34	10	2	0
013706	北海道	瀬棚郡今金町	男	2667	81	86	102	141	66	105	130	156	186	139	165	208	231	218	178	164	175	94	33	7	2
013714	北海道	久遠郡せたな町	男	4063	108	131	163	181	113	127	182	199	253	221	224	306	420	352	316	312	240	150	50	11	1
013919	北海道	島牧郡島牧村	男	768	20	14	28	29	30	36	31	42	47	57	49	60	58	74	48	57	41	32	12	2	1
013927	北海道	寿都郡寿都町	男	1556	47	54	59	68	49	59	94	96	119	83	86	108	145	141	106	84	90	43	17	5	0
013935	北海道	寿都郡黒松内町	男	1407	45	54	68	83	50	63	70	79	97	82	87	115	93	99	71	90	77	57	20	5	0
