平成28年1月1日住民基本台帳年齢階級別人口（市区町村別）（総計）※年齢階級別の外国人住民数が非公表となる市区町村がある場合や年齢不詳者がいる場合は、各年齢階級の合計と総数が一致しないことがあります。	Column	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25
団体コード	都道府県名	市区町村名	性別	総数	0～4歳	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～84	85～89	90～94	95～99	100歳以上
	合計		計	1.28066211E8	5178868	5470003	5672936	6061741	6296779	6744573	7594361	8518898	9959617	8868978	8112772	7571551	8393347	9880118	7562549	6283122	4985989	3106534	1371229	370096	62085
	合計		男	6.2464685E7	2654125	2805336	2907523	3105097	3227543	3457088	3870646	4337775	5061058	4486719	4078198	3777037	4141310	4788981	3515913	2785544	1999716	1052490	339767	64868	7931
	合計		女	6.5601526E7	2524743	2664667	2765413	2956644	3069236	3287485	3723715	4181123	4898559	4382259	4034574	3794514	4252037	5091137	4046636	3497578	2986273	2054044	1031462	305228	54154
010006	北海道		女	2848342	92713	100642	108613	115988	120557	126949	147633	170910	200148	183076	182050	178254	213698	244513	189317	167492	141668	96982	48840	14255	2381
011002	北海道	札幌市	女	1032336	35158	36756	37966	41366	50717	56600	63589	70407	80969	72997	69613	64019	72468	81354	59742	49467	42095	28489	13910	3945	709
011011	北海道	札幌市中央区	女	125980	4120	3941	3925	4325	7070	8685	9199	9438	10944	10067	9088	7465	7601	8444	6152	5261	4868	3265	1568	461	93
011029	北海道	札幌市北区	女	149086	5134	5787	5997	6471	8041	8043	8702	10085	11592	10345	9411	8900	10477	11857	8644	7086	5820	3997	1973	613	111
011037	北海道	札幌市東区	女	136161	5118	5120	5088	5493	6886	7993	8968	9698	11011	9525	8607	7786	9189	10530	7750	6328	5154	3617	1718	493	89
011045	北海道	札幌市白石区	女	110087	4087	3816	3881	4019	5265	6870	7853	8205	9219	8004	7466	6411	7032	7801	6025	5145	4443	2706	1395	375	69
011053	北海道	札幌市豊平区	女	117195	4057	3851	3843	4272	6093	7617	8255	8562	9458	8461	7888	7008	7504	8361	6422	5579	4785	3184	1534	382	79
011061	北海道	札幌市南区	女	75312	2041	2382	2596	3099	3352	2971	3460	4056	4770	4672	5170	5172	6176	7149	5307	4586	3915	2657	1338	376	67
011070	北海道	札幌市西区	女	114118	4013	3987	4198	4380	4868	5862	7022	7859	8990	8150	7750	7027	8061	9105	6894	5659	4888	3339	1563	436	67
011088	北海道	札幌市厚別区	女	69655	1942	2336	2562	3153	3139	3086	3326	3956	5116	4942	5058	4955	5497	6258	4565	3689	2970	1884	928	251	42
011096	北海道	札幌市手稲区	女	74425	2590	2932	3034	3179	3269	3140	3959	4741	5411	4625	4858	5006	6083	6810	4596	3525	2973	2209	1089	337	59
011100	北海道	札幌市清田区	女	60317	2056	2604	2842	2975	2734	2333	2845	3807	4458	4206	4317	4289	4848	5039	3387	2609	2279	1631	804	221	33
012025	北海道	函館市	女	146204	4130	4503	4798	5437	5507	5753	6769	8008	9735	9195	9153	9560	11501	13797	10664	9809	8492	5753	2802	729	109
012033	北海道	小樽市	女	67412	1584	1851	2157	2486	2397	2228	2462	3184	4121	3953	4040	3983	5528	6990	5584	5087	4474	3187	1634	412	70
012041	北海道	旭川市	女	184835	5913	6315	7051	7148	7326	7791	9234	10859	12762	11675	11501	11654	14180	16743	13277	11171	9350	6494	3265	962	164
012050	北海道	室蘭市	女	46088	1416	1447	1741	1724	1713	1686	2003	2288	2929	2595	2582	2444	3436	4626	4030	3474	2879	1835	926	272	42
012068	北海道	釧路市	女	93357	2821	3356	3595	3698	3876	3901	4520	5318	6378	5713	5749	5989	7762	8500	6550	5923	4699	2996	1523	423	67
012076	北海道	帯広市	女	88162	3339	3308	3344	3888	4272	4312	4806	5505	6283	5758	5769	5576	6387	7085	5557	4837	4005	2466	1225	369	71
012084	北海道	北見市	女	63542	2058	2239	2468	2633	2392	2518	3082	3750	4349	3867	4062	4049	4944	5720	4344	3997	3249	2251	1141	364	65
012092	北海道	夕張市	女	4824	67	96	98	122	106	86	121	149	211	189	257	270	404	514	516	541	491	331	164	49	12
012106	北海道	岩見沢市	女	45120	1315	1469	1670	1845	1799	1701	1899	2276	2944	2675	2877	3056	3633	4130	3252	3051	2690	1744	831	223	40
012114	北海道	網走市	女	19021	709	681	793	756	898	764	993	1066	1269	1072	1170	1258	1492	1719	1212	1073	952	681	346	99	18
012122	北海道	留萌市	女	11789	387	374	402	426	373	399	518	660	697	690	700	731	1006	1130	1010	875	671	423	253	55	9
012131	北海道	苫小牧市	女	88945	3465	3760	3895	3829	3791	4166	4914	5890	6604	5544	5427	5535	6863	7593	5330	4614	3681	2504	1181	326	33
012149	北海道	稚内市	女	18465	640	680	739	698	629	777	894	1088	1206	1169	1195	1214	1466	1692	1314	1207	928	585	253	80	11
012157	北海道	美唄市	女	12329	247	314	377	454	426	302	460	551	671	689	709	802	1006	1244	1019	1039	928	626	317	110	14
012165	北海道	芦別市	女	8130	137	190	206	286	238	208	220	295	418	416	456	541	686	868	739	750	683	440	227	99	0
012173	北海道	江別市	女	62718	1826	2256	2608	3123	3133	2516	2736	3370	4239	4287	4569	4352	4955	5221	3970	3420	2910	1952	927	299	49
012181	北海道	赤平市	女	5978	100	132	172	175	165	133	191	245	291	295	380	356	517	666	573	575	460	319	163	63	7
012190	北海道	紋別市	女	12325	370	367	399	427	422	490	585	667	710	714	791	814	954	1169	966	907	747	485	277	54	10
012203	北海道	士別市	女	10667	279	315	411	429	291	313	404	492	614	614	653	686	852	1001	863	877	688	504	276	86	19
012211	北海道	名寄市	女	14667	552	573	561	591	622	583	791	853	918	820	838	875	1038	1262	1002	995	850	556	277	91	19
012220	北海道	三笠市	女	5070	112	120	134	197	112	139	141	181	230	210	261	256	410	531	463	500	496	322	183	59	8
012238	北海道	根室市	女	14411	469	455	565	598	582	567	649	732	865	912	958	941	1154	1254	1134	1052	717	506	220	71	10
012246	北海道	千歳市	女	47179	2190	2222	2213	2265	2476	2684	3093	3467	3763	3166	2794	2684	3001	3304	2508	2049	1631	983	531	138	17
012254	北海道	滝川市	女	21943	681	738	748	907	853	857	967	1206	1456	1315	1357	1313	1797	2028	1618	1548	1185	781	444	126	18
012262	北海道	砂川市	女	9546	242	293	382	359	353	365	378	460	567	522	564	574	750	878	751	753	603	442	205	82	11
012271	北海道	歌志内市	女	1957	12	28	51	57	51	35	55	72	80	79	109	125	182	208	200	172	201	144	70	22	1
012289	北海道	深川市	女	11697	306	298	387	433	386	331	444	553	626	690	652	733	948	1142	1073	922	847	565	254	81	26
012297	北海道	富良野市	女	12120	407	431	527	580	465	486	577	680	781	782	772	787	834	980	833	762	654	478	224	68	12
012301	北海道	登別市	女	26248	759	923	1008	1096	1032	981	1139	1414	1718	1549	1554	1515	2033	2598	2106	1806	1403	941	506	148	19
012319	北海道	恵庭市	女	35444	1364	1539	1653	1816	1735	1580	1919	2267	2612	2361	2263	2113	2531	2766	2114	1856	1467	907	437	134	10
012335	北海道	伊達市	女	18977	542	696	693	778	655	613	799	1051	1279	1144	1077	1181	1462	1772	1477	1369	1069	768	415	123	14
012343	北海道	北広島市	女	30782	912	1188	1442	1471	1243	1054	1354	1801	2326	2050	2024	2057	2490	2998	2125	1574	1190	884	440	130	29
012351	北海道	石狩市	女	30593	1013	1268	1466	1355	1116	1052	1431	1981	2187	1797	1686	1818	2609	3147	2020	1600	1308	1003	525	185	26
012360	北海道	北斗市	女	25198	821	1075	1227	1200	1028	985	1174	1519	1978	1774	1681	1518	1819	2010	1509	1347	1201	787	406	118	21
013030	北海道	石狩郡当別町	女	8731	159	254	333	503	406	311	304	330	529	607	712	633	674	801	630	529	420	324	186	55	5
013048	北海道	石狩郡新篠津村	女	1728	56	54	66	63	77	74	64	96	102	87	99	95	124	126	127	140	106	92	56	18	5
013315	北海道	松前郡松前町	女	4230	69	81	120	137	76	82	109	165	202	197	208	277	379	473	435	402	365	254	125	39	6
013323	北海道	松前郡福島町	女	2413	46	51	78	75	40	58	59	75	108	112	136	171	246	258	216	235	183	148	66	15	5
013331	北海道	上磯郡知内町	女	2415	70	83	92	86	61	67	92	120	133	139	138	172	198	224	194	173	162	124	59	22	3
013340	北海道	上磯郡木古内町	女	2438	50	50	57	75	52	46	55	90	118	102	133	164	216	250	257	216	221	155	84	25	0
013374	北海道	亀田郡七飯町	女	15397	496	591	599	666	542	530	643	866	1094	971	985	961	1245	1372	1024	930	832	625	319	74	18
013439	北海道	茅部郡鹿部町	女	2156	58	60	86	84	59	88	77	83	110	130	118	165	169	257	199	132	107	73	26	10	1
013455	北海道	茅部郡森町	女	8809	245	266	353	343	262	326	421	441	508	510	506	538	764	879	664	597	499	395	219	66	7
013463	北海道	二海郡八雲町	女	8992	305	302	340	351	326	350	424	512	539	501	567	583	751	795	583	543	505	416	222	60	17
013471	北海道	山越郡長万部町	女	3083	83	89	90	155	102	94	115	122	132	123	195	192	246	246	230	287	297	179	80	23	3
013617	北海道	檜山郡江差町	女	4290	110	126	150	164	120	153	157	229	284	259	242	264	346	378	324	319	295	209	113	39	4
013625	北海道	檜山郡上ノ国町	女	2828	60	81	107	108	77	66	86	140	142	143	176	184	229	291	243	233	211	142	66	19	8
013633	北海道	檜山郡厚沢部町	女	2177	68	63	72	72	56	56	96	86	125	95	135	140	188	191	164	176	182	122	59	22	6
013641	北海道	爾志郡乙部町	女	2139	42	68	85	83	50	47	70	84	109	116	117	130	183	216	196	187	149	126	57	20	3
013676	北海道	奥尻郡奥尻町	女	1379	39	34	46	41	34	38	55	63	54	58	76	104	132	133	118	121	98	83	36	9	1
013706	北海道	瀬棚郡今金町	女	2959	99	82	107	114	74	87	107	139	157	143	191	170	244	283	222	219	208	173	99	32	7
013714	北海道	久遠郡せたな町	女	4574	79	125	137	156	101	88	155	181	243	221	260	282	393	453	401	387	366	279	164	69	7
013919	北海道	島牧郡島牧村	女	805	15	16	24	18	16	20	24	34	39	49	42	47	55	78	83	89	78	51	20	5	1
013927	北海道	寿都郡寿都町	女	1620	54	43	50	51	34	52	66	73	66	74	87	106	128	144	147	125	109	102	60	14	2
