平成28年1月1日住民基本台帳年齢階級別人口（市区町村別）（総計）※年齢階級別の外国人住民数が非公表となる市区町村がある場合や年齢不詳者がいる場合は、各年齢階級の合計と総数が一致しないことがあります。	Column	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25
団体コード	都道府県名	市区町村名	性別	総数	0～4歳	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～84	85～89	90～94	95～99	100歳以上
	合計		計	1.28066211E8	5178868	5470003	5672936	6061741	6296779	6744573	7594361	8518898	9959617	8868978	8112772	7571551	8393347	9880118	7562549	6283122	4985989	3106534	1371229	370096	62085
	合計		男	6.2464685E7	2654125	2805336	2907523	3105097	3227543	3457088	3870646	4337775	5061058	4486719	4078198	3777037	4141310	4788981	3515913	2785544	1999716	1052490	339767	64868	7931
	合計		女	6.5601526E7	2524743	2664667	2765413	2956644	3069236	3287485	3723715	4181123	4898559	4382259	4034574	3794514	4252037	5091137	4046636	3497578	2986273	2054044	1031462	305228	54154
010006	北海道		計	5401210	189855	206291	220912	237535	242734	255094	293431	340215	397162	355463	350523	345423	408689	455980	338806	290825	236605	147596	65468	17512	2792
011002	北海道	札幌市	計	1941832	72306	75033	77231	83684	98132	108878	122527	137056	156934	139656	131244	121796	137820	151374	107332	85090	68591	42835	18614	4872	827
011011	北海道	札幌市中央区	計	230382	8408	8033	8001	8557	12794	16070	17272	17884	20232	18628	16742	14176	14185	15290	10485	8553	7518	4830	2057	566	101
011029	北海道	札幌市北区	計	283392	10595	11743	12167	13208	16099	15435	17016	19618	22863	19957	18262	17146	20169	22051	15592	12408	9589	5979	2632	733	130
011037	北海道	札幌市東区	計	259826	10418	10347	10342	11253	13414	15684	17646	19287	21935	18671	16629	15208	17754	19588	13908	10826	8482	5391	2331	611	101
011045	北海道	札幌市白石区	計	210479	8593	7791	7776	8144	10415	13590	15242	16507	18194	15882	14452	12530	13534	14830	10721	8687	7115	4121	1801	471	83
011053	北海道	札幌市豊平区	計	219071	8438	7905	7807	8577	11624	14548	15767	16499	18389	16300	14791	13100	14021	15421	11360	9308	7801	4746	2111	467	91
011061	北海道	札幌市南区	計	140809	4252	4816	5339	6345	6685	5981	6675	7828	9185	8787	9611	9640	11609	13361	9606	8022	6603	4117	1794	473	80
011070	北海道	札幌市西区	計	212526	8231	8126	8521	8846	9162	10960	13313	15161	17240	15431	14480	13279	15286	16790	12245	9753	7944	4985	2138	554	81
011088	北海道	札幌市厚別区	計	129131	4015	4796	5270	6261	6008	5940	6446	7674	9557	9121	9182	9068	10284	11407	8281	6492	4886	2879	1219	298	47
011096	北海道	札幌市手稲区	計	141198	5237	6047	6235	6602	6572	6153	7693	9321	10522	8839	8971	9504	11591	12826	8650	6333	4825	3309	1486	416	66
011100	北海道	札幌市清田区	計	115018	4119	5429	5773	5891	5359	4517	5457	7277	8817	8040	8124	8145	9387	9810	6484	4708	3828	2478	1045	283	47
012025	北海道	函館市	計	268617	8347	9187	10035	11516	10925	11297	13268	15671	18891	17343	16926	17650	21446	25023	18598	16196	13367	8288	3624	892	127
012033	北海道	小樽市	計	122927	3201	3782	4354	5022	4770	4341	4933	6264	8036	7512	7536	7504	10153	12803	9797	8495	7162	4608	2085	490	79
012041	北海道	旭川市	計	345288	11958	13156	14187	14557	14316	15450	18170	21551	24682	22010	21475	21851	26655	30863	23594	19470	15823	9803	4359	1167	191
012050	北海道	室蘭市	計	88618	2880	2972	3460	3711	4213	3826	4190	4675	6147	5161	5039	4902	6671	8457	7124	6102	4765	2746	1204	325	48
012068	北海道	釧路市	計	176576	5837	6788	7206	7656	7731	7715	8850	10684	12694	11178	11158	11673	14538	15722	11728	10409	7936	4477	2031	490	74
012076	北海道	帯広市	計	168539	6801	6825	6927	7749	8275	8855	9728	10978	12595	11086	11189	10931	12149	13189	9815	8446	6810	3960	1680	467	84
012084	北海道	北見市	計	121048	4213	4590	4976	5390	5164	5153	6131	7667	8755	7563	7882	7941	9324	10566	7699	6934	5609	3454	1519	444	74
012092	北海道	夕張市	計	9056	135	182	187	255	239	214	272	348	439	439	514	563	828	954	849	937	831	531	225	70	12
012106	北海道	岩見沢市	計	84809	2671	3027	3365	3763	3605	3426	3815	4578	5778	5076	5480	5908	6876	7797	5772	5251	4449	2698	1147	284	43
012114	北海道	網走市	計	37352	1454	1463	1614	1666	2017	1648	1999	2242	2686	2229	2370	2493	2831	3203	2244	1948	1602	1019	470	132	22
012122	北海道	留萌市	計	22503	758	769	786	879	794	866	1113	1315	1514	1416	1465	1471	1854	2093	1688	1521	1143	662	310	76	10
012131	北海道	苫小牧市	計	173794	7325	7639	7906	7832	7709	8778	10266	11914	13699	11107	10767	10805	13585	14350	9980	8186	6120	3818	1577	390	41
012149	北海道	稚内市	計	36184	1365	1391	1494	1411	1327	1654	1911	2222	2673	2405	2474	2462	2882	3167	2321	2102	1593	892	332	93	13
012157	北海道	美唄市	計	23390	512	658	801	951	873	713	942	1131	1408	1374	1451	1596	1948	2333	1833	1721	1537	990	425	129	17
012165	北海道	芦別市	計	14974	301	365	436	582	517	421	462	611	837	788	906	990	1307	1540	1362	1280	1147	673	303	112	0
012173	北海道	江別市	計	119517	3788	4573	5222	6353	6562	5008	5529	6559	8367	8149	8548	8385	9623	9938	7296	6025	4846	3005	1304	379	58
012181	北海道	赤平市	計	11029	200	286	340	361	352	299	378	463	580	557	700	735	957	1218	998	1011	819	481	209	74	11
012190	北海道	紋別市	計	23277	784	772	833	898	839	1002	1199	1368	1443	1417	1569	1635	1827	2122	1688	1496	1243	726	340	64	12
012203	北海道	士別市	計	20216	571	693	816	877	663	678	843	1028	1219	1186	1242	1392	1585	1827	1529	1509	1245	797	380	115	21
012211	北海道	名寄市	計	28633	1183	1169	1131	1216	1332	1364	1696	1828	1861	1691	1715	1741	1976	2362	1818	1720	1426	875	393	112	24
012220	北海道	三笠市	計	9246	205	242	266	366	260	312	302	405	488	429	482	524	769	945	833	832	767	485	239	70	8
012238	北海道	根室市	計	27629	947	1004	1157	1207	1182	1259	1351	1522	1844	1813	1880	1843	2183	2326	1952	1766	1246	762	285	89	11
012246	北海道	千歳市	計	95923	4503	4593	4614	4963	5829	5970	6601	7072	7864	6718	5856	5346	5895	6357	4551	3839	2875	1609	683	167	18
012254	北海道	滝川市	計	41560	1365	1545	1652	1901	1754	1706	1951	2435	2878	2591	2662	2607	3223	3784	2859	2630	2072	1190	577	154	24
012262	北海道	砂川市	計	17792	471	600	729	762	703	728	778	914	1110	978	1098	1117	1393	1650	1331	1284	1059	667	281	103	13
012271	北海道	歌志内市	計	3664	44	66	105	105	107	70	126	157	184	162	226	246	369	404	361	312	299	199	92	25	1
012289	北海道	深川市	計	21911	615	634	754	906	823	707	894	1102	1236	1286	1343	1459	1736	2092	1848	1664	1430	894	358	99	31
012297	北海道	富良野市	計	22975	834	881	1032	1115	901	987	1149	1337	1583	1541	1526	1540	1636	1830	1438	1370	1148	718	311	81	17
012301	北海道	登別市	計	50101	1583	1906	2071	2254	2169	2022	2252	2915	3507	3011	2962	2976	3947	4768	3825	3242	2383	1455	641	191	21
012319	北海道	恵庭市	計	69073	2693	3119	3360	3707	3604	3275	3808	4581	5218	4758	4451	4183	4948	5312	3851	3320	2595	1520	596	159	15
012335	北海道	伊達市	計	35551	1126	1394	1482	1532	1341	1246	1561	2033	2551	2157	2046	2233	2788	3293	2589	2359	1890	1184	571	152	23
012343	北海道	北広島市	計	59348	1844	2474	2951	3030	2543	2143	2662	3560	4578	4090	3865	3960	4787	5597	4000	2980	2105	1369	620	160	30
012351	北海道	石狩市	計	59202	2023	2616	2937	2751	2289	2143	2892	3920	4443	3695	3453	3490	4990	6055	3925	2931	2187	1517	699	213	33
012360	北海道	北斗市	計	47603	1730	2176	2458	2446	1932	1924	2375	3003	3872	3385	3241	2972	3534	3771	2712	2314	1917	1163	524	133	21
013030	北海道	石狩郡当別町	計	16932	324	498	706	964	877	669	633	701	1044	1153	1398	1334	1398	1511	1166	969	734	485	254	64	7
013048	北海道	石狩郡新篠津村	計	3287	113	118	130	145	148	144	131	183	211	178	211	215	241	252	213	232	182	139	71	23	5
013315	北海道	松前郡松前町	計	8035	142	169	235	273	171	184	235	353	474	462	458	541	766	892	743	704	595	387	170	43	7
013323	北海道	松前郡福島町	計	4526	84	90	147	156	101	123	140	185	226	237	257	340	492	483	390	406	310	212	87	18	5
013331	北海道	上磯郡知内町	計	4683	132	178	190	178	156	180	204	237	263	264	287	352	417	448	329	303	277	181	73	26	4
013340	北海道	上磯郡木古内町	計	4544	84	98	121	157	121	117	132	171	249	213	290	313	442	452	436	388	377	219	112	28	0
013374	北海道	亀田郡七飯町	計	28580	985	1159	1264	1341	1025	1010	1289	1664	2068	1840	1839	1817	2364	2612	1886	1596	1385	883	421	89	20
013439	北海道	茅部郡鹿部町	計	4135	118	146	154	164	140	163	177	182	228	253	246	307	332	474	372	276	172	112	40	13	1
013455	北海道	茅部郡森町	計	16592	496	565	736	713	521	642	802	886	1085	1040	984	1076	1430	1643	1162	1045	835	573	275	76	7
013463	北海道	二海郡八雲町	計	17513	617	640	707	710	692	784	906	1079	1154	1028	1145	1204	1439	1539	1061	957	820	619	313	74	25
013471	北海道	山越郡長万部町	計	5913	160	163	175	441	264	192	227	263	292	254	361	375	487	497	389	455	464	301	119	31	3
013617	北海道	檜山郡江差町	計	8235	227	264	323	313	274	312	358	485	615	524	500	578	672	696	566	554	469	304	142	45	4
013625	北海道	檜山郡上ノ国町	計	5297	133	148	225	224	147	142	179	277	294	291	344	360	454	559	416	396	364	209	86	22	8
013633	北海道	檜山郡厚沢部町	計	4175	142	136	162	137	107	122	185	207	236	208	270	286	375	379	291	315	302	188	88	25	6
013641	北海道	爾志郡乙部町	計	3976	94	130	167	152	108	101	145	180	226	224	220	261	356	388	329	350	264	182	72	23	3
013676	北海道	奥尻郡奥尻町	計	2861	86	73	97	93	105	154	139	148	145	160	165	211	249	252	206	209	188	117	46	11	1
013706	北海道	瀬棚郡今金町	計	5626	180	168	209	255	140	192	237	295	343	282	356	378	475	501	400	383	383	267	132	39	9
