団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道	計	5498916	203366	219586	237149	253905	261224	291498	334834	395825	362212	348311	348158	408834	480533	357385	322276	284594	389226
020001	青森県	計	1395886	49828	57627	66380	69673	59743	67849	78830	90177	87808	88978	95608	108050	121470	87234	83820	80412	102399
030007	岩手県	計	1120741	43411	48118	52911	55736	50489	56476	65059	72552	67101	68989	74666	84223	91098	65657	66616	65006	92633
040002	宮城県	計	1978961	84006	88023	93417	96238	108992	123158	135413	148295	130299	122075	126741	141991	154997	106570	98792	90872	129082
050008	秋田県	計	1097588	36123	40723	47113	50219	43047	49043	58419	64926	61017	65386	75780	87693	98636	69102	71807	73065	105489
060003	山形県	計	1168752	44808	49816	54696	57656	52597	57281	65695	70691	65757	68532	77175	87983	97150	67764	69438	70028	111685
070009	福島県	計	1897429	76828	85911	95155	99576	92504	100103	111316	123013	112555	115251	126889	142221	152652	106283	103140	100594	153438
080004	茨城県	計	2973174	123739	133920	143498	147595	154159	168399	187080	220916	199131	179033	183723	216295	251310	186834	159408	129541	188593
090000	栃木県	計	1995901	84935	90979	94315	96428	101180	113805	129292	150201	132626	120940	126210	147151	169523	118087	101437	88162	130630
100005	群馬県	計	1998558	83370	91555	98158	99386	98679	104835	122241	148614	134600	119832	118151	138582	170547	126544	108166	93809	141489
110001	埼玉県	計	7140929	305995	319350	337059	344399	373297	424420	486630	604903	549875	462748	411860	464905	598678	474414	388006	279348	315042
120006	千葉県	計	6161921	264440	273884	283568	281884	317445	373717	419547	513400	467083	392182	354170	401080	516394	406373	335941	254712	306101
130001	東京都	計	1.2662461E7	515099	489116	498729	503547	690551	921484	1014621	1134526	1048724	887006	723999	721201	918336	724404	640410	545401	685305
140007	神奈川県	計	8906590	390179	394845	408697	401953	461128	552295	634556	771191	734097	616336	511492	535729	686861	548409	462084	361148	435590
150002	新潟県	計	2378853	91846	99094	110947	116492	112433	120407	139499	158712	146128	140044	148579	173676	202818	142372	136666	131483	207657
160008	富山県	計	1092885	42666	47868	51084	49992	48885	53638	63946	81475	70407	63041	62977	73311	99801	73218	61712	59065	89799
170003	石川県	計	1160206	49802	53092	56591	57547	57586	60593	71143	88555	76381	68862	68507	75594	102698	72788	59659	55310	85498
180009	福井県	計	806428	35778	37306	40256	41364	40173	41605	47226	55361	49624	48299	49911	54845	66778	47849	42385	42165	65503
190004	山梨県	計	860559	34226	38062	42459	45528	43284	43824	48852	59090	57680	54868	53123	58900	69166	52353	47234	42210	69700
200000	長野県	計	2153802	89778	98427	105700	105514	97109	103643	125326	151171	138926	128403	126776	140630	174863	136930	122788	114602	193216
210005	岐阜県	計	2076675	88179	96585	104189	103779	102620	108865	122804	150242	136465	126456	123025	138024	176396	132880	118812	102367	144987
220001	静岡県	計	3760801	162090	169545	177699	178206	181671	205717	230395	279190	255269	232093	227901	254788	313671	242704	213589	180903	255370
230006	愛知県	計	7249626	346373	348667	364055	352323	389058	448892	498870	605306	543096	465773	406317	431905	563803	445354	377221	297056	365557
240001	三重県	計	1844293	78338	83663	89825	90909	91734	97909	110096	135846	122310	114960	109785	120797	152259	116653	104307	93320	131582
250007	滋賀県	計	1390927	68084	70406	72711	71374	77196	81726	93134	109327	95517	85344	81412	88356	109403	79056	66049	57716	84116
260002	京都府	計	2547225	106728	111330	118282	118199	134814	146440	163808	198442	176563	155710	140577	155246	221961	165720	142519	121992	168894
270008	大阪府	計	8681623	373607	388927	419526	405147	447133	514612	575672	720944	663714	556193	467512	514969	717951	575638	501257	388370	450451
280003	兵庫県	計	5580139	242630	254784	273975	269834	284552	310740	350667	435740	398380	352910	324513	355422	462308	352478	302845	260696	347665
290009	奈良県	計	1406701	56023	61471	67962	71324	73686	74434	81981	101854	95500	87780	83243	94684	124015	94723	81515	65888	90618
300004	和歌山県	計	1025613	38753	42841	49084	50585	49736	50724	55047	69208	64695	63045	62396	69404	88932	67417	61641	57168	84937
310000	鳥取県	計	592213	24455	26297	27903	29506	28462	31098	34764	39011	33500	34049	37624	43067	49924	34111	32415	32290	53737
320005	島根県	計	718218	28917	30606	33063	34758	31396	33381	38806	44423	38867	38910	44410	50787	63792	43241	42053	45551	75257
330001	岡山県	計	1934057	84209	88630	94721	93699	97736	106361	116377	141692	121184	109559	111896	123757	162528	123377	106014	99695	152622
340006	広島県	計	2852728	127521	129678	135765	137591	143323	156368	177645	218820	190239	167545	165822	184985	241859	182310	152260	134913	206084
350001	山口県	計	1455401	57709	61345	66262	67806	65298	70400	80027	97772	86355	78928	85251	101947	134280	98465	90586	84933	128037
360007	徳島県	計	791242	29833	32597	35778	36977	37276	40715	44838	52716	47212	45820	49487	58825	71478	47879	45542	45310	68959
370002	香川県	計	1009794	42540	45584	47955	46372	47398	51887	61347	73932	63044	56928	60032	68190	90995	61594	55144	53373	83479
380008	愛媛県	計	1450262	57897	61562	67963	69753	66116	72338	83034	98883	87560	85425	89738	102404	128114	91110	84324	79632	124409
390003	高知県	計	766426	28385	30824	34070	35592	31938	36254	42489	51182	43759	43969	46809	54300	70157	50585	45400	45654	75059
400009	福岡県	計	5043494	230770	227955	239560	244615	270460	308853	337718	376796	330388	298416	304528	347024	418265	288687	262820	229442	327197
410004	佐賀県	計	855968	38623	40689	44771	45491	42753	46602	50285	54283	49511	49919	55127	63238	69245	46508	45736	43970	69217
420000	長崎県	計	1440853	60097	63656	71357	73944	64681	70623	77807	90423	85406	86418	95768	110502	122121	83102	83603	79731	121614
430005	熊本県	計	1828471	80936	82351	88828	91755	87672	98977	106215	114737	105647	108688	118437	134051	148071	102116	102207	99814	157969
440001	大分県	計	1201901	50388	51572	55292	57299	56004	62276	70719	78975	70286	67263	74479	86857	104611	74239	70032	67391	104218
450006	宮崎県	計	1147867	50922	52022	56935	57767	51522	58322	65987	72554	64218	66247	75991	86893	97734	65648	65870	63475	95760
460001	鹿児島県	計	1713984	75336	76967	82526	85888	76244	89300	96652	102324	95220	101175	116525	131719	136207	94402	97732	97421	158346
470007	沖縄県	計	1413583	83694	82788	85682	85597	80436	89049	95305	106855	95066	88945	92135	99417	89403	55604	60996	51927	70684
