団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道	女	2878510	96386	102984	112174	120658	123766	137539	154870	186208	197750	182219	179586	186254	243680	211807	191274	167627	281539
020001	青森県	女	719648	23027	25777	30191	33003	27936	30673	35734	41753	45174	44023	46363	50780	60446	50930	47329	47374	78662
030007	岩手県	女	681839	23237	25583	28986	30664	27567	29626	34198	39874	40499	39434	41716	45875	54152	45651	45284	45742	83491
040002	宮城県	女	1194173	46217	48454	52293	54667	57613	66333	74224	81933	81926	72404	72433	77817	91763	73942	66685	62773	112390
050008	秋田県	女	565924	16414	18807	21408	23539	19795	21834	25987	30695	31862	30962	35464	40717	48660	40354	38974	41693	78413
060003	山形県	女	598235	20832	22917	25690	27131	24378	26346	30253	34058	34442	33332	36719	40511	47703	38296	36512	38712	79604
070009	福島県	女	1011972	35092	39902	46029	49675	44725	47356	51919	59591	61076	58670	63513	70187	81135	63796	60366	59783	118314
080004	茨城県	女	1496844	57617	62603	68641	70945	70171	76828	85101	98618	106511	92677	88496	96234	118651	105321	91376	73086	133966
090000	栃木県	女	1010005	39793	42709	45804	46763	46418	52104	58466	67988	71482	62230	60132	66095	80242	68587	58542	49635	92957
100005	群馬県	女	1022265	38792	43106	47351	49496	47099	49137	55280	67534	73546	63640	58192	62205	78655	72512	63541	52584	99510
110001	埼玉県	女	3633135	146737	154270	162291	170923	179747	199514	223513	265125	295900	248784	210048	207627	268675	263768	234958	168719	232510
120006	千葉県	女	3126612	123402	131206	137637	141395	148070	170783	189984	224787	251059	209841	180500	180213	232300	228997	200836	150586	224893
130001	東京都	女	6681147	261478	245924	247963	260211	345952	453466	496124	538852	575198	490261	397364	344766	403047	405631	382771	323721	508228
140007	神奈川県	女	4542946	188021	190940	200988	203481	217935	253814	288830	342526	386865	330479	270624	244929	306429	304709	277725	213969	320611
150002	新潟県	女	1213470	43197	46161	51151	55752	52037	55820	62913	74646	76449	71328	70270	78091	96792	81638	75438	73048	148552
160008	富山県	女	564515	19681	22062	24476	25009	23434	25088	28097	36210	39404	33253	31561	33577	43593	43822	37272	32752	65220
170003	石川県	女	601624	23580	25305	26968	28138	27986	28905	32208	39879	43004	36314	34456	36138	44611	44195	36746	31185	61956
180009	福井県	女	416894	16745	17697	19149	19953	19227	20363	22141	25794	27266	24613	25080	25443	31431	27424	24718	23134	46626
190004	山梨県	女	439843	16033	17729	19558	21837	21176	20420	22174	26615	30003	28465	26715	27647	32744	29311	27322	23726	48297
200000	長野県	女	1108298	41803	46340	50544	52055	46961	49007	55912	70039	74585	67107	64118	65953	80856	76789	69964	62410	133353
210005	岐阜県	女	1078350	41976	45605	50217	51892	50900	53536	57714	69008	75849	66587	63349	64519	81146	76344	68656	58535	102476
220001	静岡県	女	1926549	77081	81492	85936	87986	84858	95775	106572	125691	137919	120864	113220	116517	145695	136684	123743	103521	182931
230006	愛知県	女	3734951	168162	170958	177733	180809	187061	213583	232655	272041	298355	248991	215678	199798	251843	250992	222876	174889	268492
240001	三重県	女	956951	37576	40221	43348	45127	44504	47412	50961	62102	67844	59834	57260	56789	70404	67116	60151	52375	93733
250007	滋賀県	女	721138	33209	33843	35696	35566	35680	39136	43850	51945	53855	45239	42490	41944	50746	46424	38964	32263	60273
260002	京都府	女	1344449	50112	53625	57023	59910	66221	71855	77112	92261	100550	85838	75998	73474	98576	99627	87366	71149	123725
270008	大阪府	女	4576542	179412	185314	201389	208682	222174	255146	275756	329150	373287	313195	259941	239495	318584	328595	306015	237818	342578
280003	兵庫県	女	2938816	116071	121605	131396	135497	137647	151696	167246	202559	225280	193292	174633	168950	212771	207716	182984	152662	256793
290009	奈良県	女	734539	26348	29191	31750	34755	35272	36537	38608	46968	53200	47881	43863	44413	57223	55703	49198	37825	65676
300004	和歌山県	女	532969	18437	19597	22672	24407	23077	24391	25991	31116	35640	33242	32286	32587	40969	39183	35968	32139	61067
310000	鳥取県	女	306772	11847	12400	13218	13935	13150	14086	16228	18464	18578	16885	18050	19887	23709	20687	18192	18168	38952
320005	島根県	女	371862	13769	14602	15595	16543	15081	15948	18132	20852	21295	19341	20892	22957	28828	26069	23288	24550	54000
330001	岡山県	女	1007934	40379	41499	45180	46790	47708	52059	55322	65424	69349	57773	55202	58184	72914	72630	62131	55246	110044
340006	広島県	女	1485126	61766	62436	65034	67866	68624	75546	82846	99980	107563	89834	83184	85797	109789	106505	92058	78095	148185
350001	山口県	女	760156	27248	28815	31407	32787	30621	33143	36892	44530	48235	42019	41447	46447	62209	59150	53581	48429	93138
360007	徳島県	女	409449	14057	14955	16867	17835	17351	18958	21246	24898	26263	23702	23958	26955	32684	29174	25620	24560	50186
370002	香川県	女	523427	20145	21696	23073	23084	22468	24873	28139	34526	35648	29981	28792	31657	40495	38368	31679	29395	59388
380008	愛媛県	女	756639	27504	28989	31646	33392	31730	34697	38687	46116	48872	43998	44026	47913	60331	55398	48396	45098	89667
390003	高知県	女	399165	13080	14459	15762	16980	15523	16634	19183	23763	25067	21853	22964	24981	31676	30681	26725	24957	54554
400009	福岡県	女	2688095	113374	112472	115109	121750	134414	151851	166641	184693	187303	162139	153981	161979	204444	178674	157148	137525	244494
410004	佐賀県	女	448703	18544	19334	20951	21979	20649	22499	24348	26846	26900	25580	26763	29512	35069	28113	26436	24774	50287
420000	長崎県	女	756032	28672	30113	32812	35139	31741	34071	37961	43197	46166	44101	46451	51248	61068	50889	47756	45077	89423
430005	熊本県	女	963247	39179	39918	41868	43807	42538	47959	51947	57226	57501	55700	57975	63862	73634	62000	57219	56580	113943
440001	大分県	女	629969	23987	24670	26065	27954	27275	29205	32858	38025	38864	35001	36185	40549	50334	45527	40280	38381	74797
450006	宮崎県	女	602904	24680	25223	26576	28076	24629	27945	31927	36045	35629	33299	36373	41131	48234	40766	36470	35703	70014
460001	鹿児島県	女	902748	36560	37164	39107	41023	37780	43357	48720	52096	51860	50573	55067	62618	68856	55672	53720	53519	114353
470007	沖縄県	女	734674	42099	40877	41122	41423	38616	44215	47449	52153	52221	45328	45132	46581	49310	32014	31602	30599	53738
