団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道	男	2584535	100598	107434	116519	125647	125219	137225	153766	184222	192390	169459	168418	174063	219234	181296	150942	125252	152241
020001	青森県	男	648210	24063	26709	31759	34162	29220	31944	37074	43025	45224	42688	45037	48242	56941	45870	36691	32488	36944
030007	岩手県	男	629528	24321	26979	30677	32090	28176	30884	35710	42024	42782	39675	42536	46603	53882	42731	36110	32608	41665
040002	宮城県	男	1135266	48386	51065	55345	57378	60117	68074	75652	84694	85381	73688	72689	77273	89911	71029	58219	47122	59102
050008	秋田県	男	504302	17001	19687	22115	24456	20676	22966	27287	32699	32006	30204	34577	39453	47264	36774	30409	29110	37555
060003	山形県	男	553083	21841	24249	26803	28414	25113	27802	31538	35927	35113	32781	36211	40543	48820	38025	31183	28776	39854
070009	福島県	男	964124	37382	42001	48678	51888	48039	51980	56534	64308	64283	59480	64976	71575	83272	63605	52605	43728	59581
080004	茨城県	男	1496794	60814	66356	72191	75697	80424	87609	94345	108941	115986	98431	91736	98964	119059	103426	88352	63147	71315
090000	栃木県	男	1000267	41888	45570	48156	48940	50870	58894	64886	74565	78232	65679	62664	68171	81362	68338	54086	39740	48214
100005	群馬県	男	997422	40881	45352	49843	51939	52580	54177	59689	72139	78017	66689	60374	63838	77642	70567	57590	42534	53549
110001	埼玉県	男	3655713	154794	161845	171210	178881	190884	213091	240567	289935	325451	270600	225353	215481	263409	249521	219638	150567	134471
120006	千葉県	男	3121248	130786	137831	144893	149030	160677	185156	204852	242705	271670	228154	191695	183739	226264	215824	187656	132699	127571
130001	東京都	男	6520890	275089	258245	261003	271981	355205	472374	525270	567364	596131	525222	422700	358683	406960	381467	323271	246658	273192
140007	神奈川県	男	4557660	197270	201677	209444	215807	234392	277198	311253	367566	414880	366861	296253	256442	304480	286146	250512	182031	185422
150002	新潟県	男	1141402	45588	48888	53760	58114	55810	59688	66229	78326	79934	72451	71668	79274	96088	79782	65711	55609	74439
160008	富山県	男	527097	20876	23379	25845	26041	24841	27293	30514	38554	41630	33406	31298	32286	41433	40992	32110	24047	32547
170003	石川県	男	561756	24618	26040	28460	30455	30678	30266	33185	41636	43576	35881	33491	34662	41946	41432	32176	22895	30328
180009	福井県	男	391335	17745	18619	19939	21185	20323	21269	22748	26868	27968	24265	24445	25327	30871	26113	21715	17331	24585
190004	山梨県	男	421772	16688	18500	21007	23481	22728	21981	23577	27954	31469	29210	27521	27828	32480	28124	24609	18560	26015
200000	長野県	男	1052516	43914	48845	53325	54580	49186	52401	58676	73491	78585	68409	64523	66356	79673	73453	63034	49978	73858
