code	pref	gen	total	0-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85-89	90-94	95-99	100-
010006	北海道	計	5401210	189855	206291	220912	237535	242734	255094	293431	340215	397162	355463	350523	345423	408689	455980	338806	290825	236605	147596	65468	17512	2792
020001	青森県	計	1338465	45158	49923	57661	63712	56149	56245	68472	79094	89785	85763	88809	94211	106907	113641	82191	75326	65410	39257	16010	3753	527
030007	岩手県	計	1289470	45641	50948	56481	60448	54272	55794	66457	76937	85025	78376	82140	87809	99953	103243	77448	75059	66142	43159	18313	4768	728
040002	宮城県	計	2324466	92721	98708	103765	110842	116139	125758	144565	159515	173012	150394	144930	148490	166514	173036	122938	108739	91607	59752	25576	6241	930
050008	秋田県	計	1043015	31404	36627	40905	45160	39016	40023	49760	59574	64657	59848	65989	75162	87280	92380	66102	65936	60651	40857	16800	3930	586
060003	山形県	計	1129560	40773	45578	50172	53293	47568	49845	58500	67178	70900	65082	69871	77251	87650	90994	65586	63762	58795	42432	18466	4426	617
070009	福島県	計	1953699	71460	78386	89269	98255	92124	93474	105089	117622	129322	117271	124452	135878	152219	152994	109156	99993	89592	61690	27041	6570	989
080004	茨城県	計	2970231	114394	126465	135258	144866	146744	152727	171922	192380	224938	198496	182914	184361	215342	237851	180000	143302	107114	70571	31444	7855	1284
090000	栃木県	計	1998864	79297	86431	91547	94761	95007	104314	118447	133325	152817	131958	123278	126900	146646	160348	113034	91208	72929	48699	21802	5213	828
100005	群馬県	計	2005320	76526	86057	93562	100246	99114	97787	109464	128514	153151	135143	123322	119362	138945	162531	121891	97472	78240	53077	23476	6315	1019
110001	埼玉県	計	7323413	296048	316056	325576	347254	376466	393497	446816	511295	621935	551104	471894	412651	464617	568714	456137	347842	228622	120863	50514	13361	2065
120006	千葉県	計	6265899	246993	266529	276471	291318	315344	337194	380943	429070	520252	464955	399416	354874	401322	492092	392041	302746	211044	117982	49549	13362	2230
130001	東京都	計	1.3415349E7	548807	521004	503559	541784	731721	904766	1005917	1063859	1174722	1066902	911441	726105	715460	865740	694927	578042	452316	259994	112172	30533	5353
140007	神奈川県	計	9136151	377182	392574	399985	423168	462052	502784	573904	655403	786802	734413	624398	508508	531103	651677	527815	418292	301722	169554	71789	19596	3348
150002	新潟県	計	2319435	85033	93291	99565	110341	104613	107237	122332	142962	159624	144109	141950	148562	173171	190776	137063	125778	110058	76401	35131	9674	1517
160008	富山県	計	1080160	39096	43723	48344	50903	48277	49259	55656	66859	83234	69860	64217	62992	73378	95279	70205	56471	49310	32858	15136	4320	768
170003	石川県	計	1157042	46931	50538	53334	58111	58926	56391	62443	73698	89732	75097	69539	68133	75497	97483	70119	54259	46379	31070	14445	4179	712
180009	福井県	計	799220	32443	35857	37602	40216	38565	39024	43065	49096	56566	49116	49537	49648	54960	63299	46568	38894	35494	24463	11195	3057	504
190004	山梨県	計	849784	31487	34937	38552	43805	43058	39737	43980	50022	60310	57972	55950	53525	59175	65997	50844	43047	35817	25080	12335	3448	594
200000	長野県	計	2137666	82343	92234	100001	104765	95437	95931	108013	131183	155190	139327	131502	128484	142084	168250	133619	112976	98064	72534	34269	9268	1514
210005	岐阜県	計	2076195	82703	91738	98450	105602	100760	101052	111634	128200	154530	136058	129311	123267	138166	167998	128361	107320	85238	54817	23680	6275	977
220001	静岡県	計	3770619	151223	164547	171752	179098	173612	187356	213212	239156	284361	254860	236829	228500	256041	299311	234270	192941	151392	95804	42940	11466	1850
230006	愛知県	計	7509636	338122	351231	355157	375744	395258	435583	477883	523380	624454	545619	476441	407562	430869	539059	428778	340679	246120	141310	58478	15370	2452
240001	三重県	計	1850028	73875	80837	85477	91713	89245	92817	101361	115348	139934	122663	117913	110187	121032	145225	112958	94740	77075	50012	21036	5365	932
250007	滋賀県	計	1419863	66261	69915	71547	73900	72442	76372	85311	97491	112426	95232	87476	81802	88972	104537	76742	60391	48637	31859	14073	3857	588
260002	京都府	計	2574842	100765	108443	113086	123165	134169	135345	146002	167731	202001	176647	159294	141949	158023	212399	162802	129891	102454	62749	28198	8207	1472
270008	大阪府	計	8865502	359558	375256	395643	431883	454244	487482	530055	593468	737692	662427	567538	472518	523578	681730	561261	449391	317427	171946	69967	19137	3277
280003	兵庫県	計	5621087	230202	247151	258259	278360	274886	284609	316590	360941	443944	396210	359842	325773	358869	441559	343866	275570	217926	131836	56836	15214	2613
290009	奈良県	計	1387818	52073	58262	62463	70099	68514	66043	71869	83018	102699	93948	88374	82782	94825	117621	92361	73540	55004	34219	15141	4065	724
300004	和歌山県	計	994317	36413	39489	43275	48474	45627	45833	49785	55930	69784	63399	63661	62170	69111	83892	65316	55302	47122	31082	13910	3756	610
310000	鳥取県	計	579309	23615	24746	26351	27552	26053	26680	31653	35668	39116	32960	34420	37698	43078	46850	33094	29693	27338	19876	9542	2633	483
320005	島根県	計	701394	27926	29501	30879	32590	30112	30328	35170	40513	45262	38660	39997	44430	51181	60244	42140	38838	38442	27147	13265	3919	635
330001	岡山県	計	1933781	80827	85799	89365	95915	95493	98932	108437	120150	144262	119831	111075	112786	124478	155123	119679	96467	84282	56668	25625	7202	1269
340006	広島県	計	2863211	122950	128633	130392	137143	140793	147288	162130	183258	221909	187552	169495	165549	185418	229819	176204	138117	113496	75148	35687	10393	1813
350001	山口県	計	1419781	53235	58118	61507	65847	61771	61495	71227	81802	98547	84674	80113	86132	103161	128319	95974	81776	70996	46375	21593	6019	1066
360007	徳島県	計	770057	28191	30223	32681	35215	33964	35333	41043	45928	53058	46317	46319	49532	58585	67311	46235	41336	37962	25769	11388	2943	507
370002	香川県	計	1002173	40246	43301	45979	47596	45245	48002	54209	63824	74935	61753	57692	60292	68334	86104	59601	50223	45130	30871	14066	3946	772
380008	愛媛県	計	1415997	53798	58700	62155	67245	62172	64139	73729	84947	99630	85688	86180	89249	102368	121210	87493	76482	66772	46301	20845	5740	981
390003	高知県	計	740059	25883	28519	30919	34127	30709	30044	36763	43108	51264	42858	44495	46539	54025	66744	48609	41252	38590	27710	13192	3652	637
400009	福岡県	計	5122448	229704	235612	231623	245021	265531	278221	317752	347552	382771	328753	303216	304851	349048	395552	281132	238045	192341	121234	56304	15259	2786
410004	佐賀県	計	842457	36734	39539	41150	43866	40242	40440	46601	51311	54499	49290	50659	54896	63283	65053	45306	41546	36983	25054	12031	3238	596
420000	長崎県	計	1404103	57242	60499	63757	68807	60831	62846	72130	79657	90897	84136	87179	95327	110021	115369	80548	76030	66630	44314	21055	5653	962
430005	熊本県	計	1810343	79325	82600	83233	87310	81947	86356	100540	108983	116430	105122	110023	118556	134205	140620	99975	94279	85014	58238	27869	7858	1322
440001	大分県	計	1183961	47540	50934	51603	55706	53766	54824	63183	72175	79325	68830	68440	74975	87483	99623	72565	63968	57135	38711	17647	4691	757
450006	宮崎県	計	1128078	48580	52000	52503	55119	47610	49815	60110	67666	73049	63539	67376	75846	86722	92742	64038	59958	53923	35756	16150	4606	829
460001	鹿児島県	計	1679502	73206	76640	77672	79674	68910	75994	91490	98697	103299	95056	102484	116996	132219	129387	91851	89380	82555	57048	27353	7733	1305
