団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～84	85～89	90～94	95～99	100～
010006	北海道	女	2848342	92713	100642	108613	115988	120557	126949	147633	170910	200148	183076	182050	178254	213698	244513	189317	167492	141668	96982	48840	14255	2381
020001	青森県	女	704562	22046	24494	28177	31209	27255	27354	33616	38871	44570	43411	45076	48339	55008	59402	46060	44565	41339	27315	12476	3165	469
030007	岩手県	女	670105	22315	24808	27620	29316	26684	27159	32570	37490	41205	38842	40645	43698	49986	52668	42650	43651	40944	29088	13957	3937	639
040002	宮城県	女	1190676	45198	48058	50567	53762	56853	61665	71541	78370	84802	73927	72385	74609	84151	88087	65050	61219	55555	39759	19089	5010	798
050008	秋田県	女	551385	15346	17789	20132	22173	18918	19483	24225	28717	31965	30203	33516	38171	44534	47522	36643	38911	38079	28014	12992	3243	501
060003	山形県	女	586208	20049	22082	24534	26023	22986	24323	28549	32573	34956	32551	35107	38912	43752	45115	34837	36349	35956	28662	14038	3593	539
070009	福島県	女	996818	34814	38160	43565	47834	43815	44177	50002	56206	62373	57603	61345	67078	75327	75805	57652	56919	55324	41631	20355	5318	862
080004	茨城県	女	1484333	55790	61338	65852	70306	68384	70180	81552	91398	107360	95312	89581	91133	107490	120285	91879	75783	63117	46373	23650	6460	1108
090000	栃木県	女	1002948	38532	41798	44769	46041	45080	48527	55831	63514	72721	63818	60275	62595	72971	80265	58482	49883	43862	32453	16426	4328	715
100005	群馬県	女	1013404	37487	41811	45571	48854	46652	45542	52439	61766	74146	65842	60560	58954	69537	82477	63669	53429	46533	34530	17506	5156	864
110001	埼玉県	女	3652716	144367	153748	158536	169343	182688	189573	215683	244680	296255	263374	227167	201602	232529	292714	238176	183982	129825	77762	37904	10947	1801
120006	千葉県	女	3135837	120028	129625	134826	141362	151102	161250	183130	206287	249988	222843	192778	174423	202446	252880	205058	160592	120757	76370	37093	10978	1895
130001	東京都	女	6793747	267690	253657	245657	264463	360595	444885	489457	518728	577709	519720	441217	354703	354839	441974	375460	327570	271767	171227	82746	24902	4611
140007	神奈川県	女	4568360	183749	191322	195351	205671	223008	240393	276584	316937	381537	350618	296945	246462	264995	334829	279469	225626	174868	108573	52578	15911	2875
150002	新潟県	女	1194780	41436	45378	48582	53870	50460	51706	59301	69477	78381	70858	70443	73602	87000	96293	72982	70674	66899	51215	26774	7925	1322
160008	富山県	女	558013	18974	21230	23463	24823	23173	23341	26734	32233	40430	34480	32245	31942	37617	49209	37666	32186	30473	22066	11514	3536	673
170003	石川県	女	597399	22965	24896	25997	27948	27755	27291	30518	36161	44207	37616	35337	34755	38807	50342	37461	30625	28646	21114	10908	3407	630
180009	福井県	女	411874	15746	17462	18313	19700	18462	18873	21299	24062	27836	24627	25003	25072	27828	32144	24671	21955	21434	15953	8439	2511	446
190004	山梨県	女	433633	15449	17068	18564	21070	20746	19056	21259	24395	29349	28518	27604	26697	29582	33534	26836	23763	21367	16227	9201	2765	519
200000	長野県	女	1095664	40121	44981	48766	50884	46280	46251	52667	63997	75717	68480	65318	64388	71400	85557	70166	62058	57734	46739	24875	7505	1308
210005	岐阜県	女	1066660	40212	44748	48144	51598	49560	49338	54814	62600	76126	67863	65350	62950	70992	85964	67921	59130	50306	35446	17607	5121	830
220001	静岡県	女	1909539	73470	80338	83208	86982	83042	88505	102104	115350	137614	123854	116357	113491	128565	152587	123311	105429	89907	62390	31952	9425	1589
230006	愛知県	女	3747620	164459	170905	172821	182916	188086	203008	226408	250752	300278	262204	231231	200521	217239	276467	223805	183110	143505	91336	43616	12766	2137
240001	三重県	女	946866	36031	39541	41687	44539	43442	44202	48906	56152	68473	60626	59180	55914	61935	74807	59837	52178	45608	32362	15898	4485	818
250007	滋賀県	女	720082	32251	33892	34664	35792	34639	36715	41750	48277	55115	47188	43884	41458	44944	53318	39824	32674	28535	20632	10709	3264	533
260002	京都府	女	1339672	48894	52667	55274	60271	65836	67799	73776	84380	101599	89261	81191	72442	82364	112121	87738	72211	60837	41374	21423	6897	1289
270008	大阪府	女	4577008	176011	182855	192541	211555	225641	244466	266059	299121	369977	331829	285084	238355	268737	356787	303023	248876	189404	114371	53192	16173	2939
280003	兵庫県	女	2923257	112218	120450	125728	136361	135705	141894	159841	183392	224769	200978	183988	167501	185141	230416	185322	153925	130803	87053	42768	12683	2299
290009	奈良県	女	727548	25521	28646	30225	34223	34281	33783	36778	42608	52604	48663	45887	43163	49623	62470	49341	39691	32130	22378	11325	3440	650
300004	和歌山県	女	523644	17932	19293	21012	23832	22251	22681	25028	27977	35052	32765	33448	31933	35572	44018	35642	31244	28809	20578	10645	3181	543
310000	鳥取県	女	302645	11632	11985	12986	13327	12672	13046	15553	17500	19356	16606	17519	19149	21603	23977	17905	17172	16992	13597	7257	2214	423
320005	島根県	女	366107	13504	14395	15113	15898	14764	14807	17243	19621	22166	19259	20217	22121	25331	30198	22894	22455	23558	18500	10091	3244	546
330001	岡山県	女	1001620	39272	41373	43398	46822	47026	49132	53982	59262	71558	60165	56117	57327	63106	80270	63893	54129	50579	37733	19285	6023	1095
340006	広島県	女	1476781	60212	62755	63451	66784	68061	71125	79583	90740	110088	93834	85360	84105	94240	118627	94525	77174	69018	50222	26847	8437	1574
350001	山口県	女	746825	25780	28483	30055	32187	29670	29757	35386	40638	48630	43285	41051	44430	52649	67221	52659	47268	43935	31232	16541	5006	933
360007	徳島県	女	402775	13578	14738	15903	17478	16522	17305	20318	22731	26986	23585	23949	25292	29662	34084	24799	23456	23228	17490	8655	2411	445
370002	香川県	女	518382	19458	21097	22464	23150	21849	23196	26743	31592	37030	30815	29293	30672	34830	44169	31942	28172	27218	20339	10425	3243	661
380008	愛媛県	女	745096	26064	28791	30200	32827	30410	31909	36925	42331	49794	43847	44444	45984	52962	62933	47909	44059	41216	31153	15657	4679	864
390003	高知県	女	391193	12752	13848	15175	16494	14979	14987	18342	21235	25648	21955	22720	23799	27731	34454	26712	23853	23804	18765	10063	3027	570
400009	福岡県	女	2688881	111881	114813	113093	120054	133171	142020	161187	175616	192588	168162	156807	156934	180131	208095	154839	138041	120251	82648	43188	12801	2483
410004	佐賀県	女	443227	17923	19284	20164	21427	19983	20528	23460	25673	27458	25400	26095	28296	32282	33361	25153	24107	23024	17035	9186	2720	552
420000	長崎県	女	743084	27847	29559	31080	33815	30328	31248	36415	40381	46156	43695	45072	48825	56108	59730	45094	44259	41215	30303	16190	4766	850
430005	熊本県	女	954949	38493	40486	40457	42656	41405	44024	50575	54803	58945	54606	57127	60997	68483	72380	55120	54419	51940	38789	21178	6544	1163
440001	大分県	女	622219	23123	24945	25096	27379	26225	26714	31426	35586	39741	35314	35448	38821	44921	51928	39909	36921	34925	25897	13386	3795	671
450006	宮崎県	女	594982	23883	25426	25629	26976	23480	25342	30637	34067	37116	32858	34925	39104	44311	48205	34929	34403	32722	23847	12459	3821	736
460001	鹿児島県	女	889377	35780	37124	37830	39626	35571	39641	47259	50653	52824	49443	52969	59517	66275	65146	49785	51355	50827	38627	21027	6445	1164
470007	沖縄県	女	740683	41714	41842	40506	40809	38157	41150	47473	50062	54078	47438	44597	45588	48553	41639	28539	30582	25791	17864	9513	3760	841
