地域標準コード	市区町村名	介護老人福祉施設（施設数）	介護老人福祉施設（定員）	介護老人福祉施設（常勤換算従事者数）	介護老人保健施設（施設数）	介護老人保健施設（定員）	介護老人保健施設（常勤換算従事者数）	介護療養型医療施設（施設数）	介護療養型医療施設（病床数）	介護療養型医療施設（常勤換算従事者数）
00000	全国　　　　　	6764	464069	304058	3741	330323	198555	1422	63102	49937
01000	北海道	315	20977	14267	181	15335	9510	72	4035	3103
01100	札幌市	56	4571	3199	44	4079	2558	17	1382	1032
01101	中央区	3	273	199	5	491	291	2	314	167
01102	北区　	7	588	442	6	540	361	1	60	48
01103	東区　	7	530	339	6	555	370	2	36	37
01104	白石区	5	413	270	3	280	185	-	-	-
01105	豊平区	7	530	334	4	365	219	3	168	132
01106	南区　	5	520	395	3	320	221	2	185	237
01107	西区　	6	521	407	5	467	289	2	112	85
01108	厚別区	4	334	234	4	400	233	2	273	201
01109	手稲区	6	518	333	4	336	181	2	130	70
01110	清田区	6	344	246	4	325	208	1	104	56
01202	函館市	16	1103	795	7	888	517	6	246	205
01203	小樽市	3	322	184	4	350	215	6	447	331
01204	旭川市	17	1070	765	9	742	458	8	404	309
01205	室蘭市	4	324	198	3	250	139	1	30	48
01206	釧路市	9	700	555	3	274	181	-	-	-
01207	帯広市	7	429	397	5	454	291	1	70	71
01208	北見市	7	521	339	3	280	150	3	48	55
01209	夕張市	1	105	89	1	40	25	-	-	-
01210	岩見沢市	4	380	288	2	250	157	1	16	17
01211	網走市	1	42	40	2	169	103	-	-	-
01212	留萌市	1	50	31	2	129	67	-	-	-
01213	苫小牧市	5	340	238	6	507	306	2	148	104
01214	稚内市	3	203	140	1	100	68	-	-	-
01215	美唄市	2	90	60	1	80	58	2	119	71
01216	芦別市	-	-	-	1	100	44	1	60	52
01217	江別市	1	80	82	5	400	259	2	70	56
01218	赤平市	3	130	77	1	100	51	-	-	-
01219	紋別市	-	-	-	1	100	56	-	-	-
01220	士別市	2	100	72	2	149	94	-	-	-
01221	名寄市	2	180	142	1	100	61	-	-	-
01222	三笠市	1	88	63	1	46	31	-	-	-
01223	根室市	2	86	86	1	70	55	-	-	-
01224	千歳市	2	150	80	2	200	108	-	-	-
01225	滝川市	1	200	96	1	100	57	1	114	56
01226	砂川市	1	100	63	1	62	38	-	-	-
01227	歌志内市	1	50	31	-	-	-	-	-	-
01228	深川市	2	150	92	1	96	58	1	55	31
01229	富良野市	-	-	-	1	100	58	1	23	13
01230	登別市	2	200	138	2	100	114	-	-	-
01231	恵庭市	2	121	96	2	200	131	1	60	36
01233	伊達市	4	210	114	2	300	174	-	-	-
01234	北広島市	3	250	152	2	190	126	3	154	129
01235	石狩市	3	230	151	1	100	78	1	57	33
01236	北斗市	3	200	134	1	96	70	-	-	-
01303	当別町	1	50	31	1	100	71	-	-	-
01304	新篠津村	1	135	78	-	-	-	-	-	-
01331	松前町	1	70	60	-	-	-	-	-	-
01332	福島町	1	50	35	-	-	-	-	-	-
01333	知内町	1	57	32	-	-	-	-	-	-
01334	木古内町	1	50	32	1	80	43	-	-	-
01337	七飯町	1	50	33	1	100	58	1	14	13
01343	鹿部町	1	50	25	-	-	-	-	-	-
01345	森町　	2	100	65	1	80	55	-	-	-
01346	八雲町	2	105	52	1	90	52	-	-	-
01347	長万部町	1	80	53	-	-	-	-	-	-
01361	江差町	1	130	82	1	80	51	-	-	-
01362	上ノ国町	1	50	35	-	-	-	-	-	-
01363	厚沢部町	1	30	23	-	-	-	-	-	-
01364	乙部町	-	-	-	-	-	-	-	-	-
01367	奥尻町	1	30	21	-	-	-	-	-	-
01370	今金町	1	50	34	1	80	30	-	-	-
01371	せたな町	2	100	59	-	-	-	-	-	-
01391	島牧村	-	-	-	-	-	-	-	-	-
01392	寿都町	1	50	35	-	-	-	-	-	-
01393	黒松内町	1	80	43	2	80	71	-	-	-
01394	蘭越町	1	70	43	-	-	-	1	37	27
01395	ニセコ町	1	50	32	-	-	-	-	-	-
01396	真狩村	-	-	-	-	-	-	-	-	-
01397	留寿都村	-	-	-	-	-	-	-	-	-
01398	喜茂別町	1	80	61	-	-	-	-	-	-
01399	京極町	-	-	-	-	-	-	-	-	-
01400	倶知安町	1	70	41	1	100	48	-	-	-
01401	共和町	1	50	35	-	-	-	-	-	-
01402	岩内町	1	50	24	1	100	84	-	-	-
01403	泊村　	1	60	40	-	-	-	-	-	-
01404	神恵内村	-	-	-	1	86	48	-	-	-
