コード	都道府県名	市区町村名	市区町村名よみ
01000	北海道
01100	北海道	札幌市	サッポロシ
01202	北海道	函館市	ハコダテシ
01203	北海道	小樽市	オタルシ
01204	北海道	旭川市	アサヒカワシ
01205	北海道	室蘭市	ムロランシ
01206	北海道	釧路市	クシロシ
01207	北海道	帯広市	オビヒロシ
01208	北海道	北見市	キタミシ
01209	北海道	夕張市	ユウバリシ
01210	北海道	岩見沢市	イワミザワシ
01211	北海道	網走市	アバシリシ
01212	北海道	留萌市	ルモイシ
01213	北海道	苫小牧市	トマコマイシ
01214	北海道	稚内市	ワッカナイシ
01215	北海道	美唄市	ビバイシ
01216	北海道	芦別市	アシベツシ
01217	北海道	江別市	エベツシ
01218	北海道	赤平市	アカビラシ
01219	北海道	紋別市	モンベツシ
01220	北海道	士別市	シベツシ
01221	北海道	名寄市	ナヨロシ
01222	北海道	三笠市	ミカサシ
01223	北海道	根室市	ネムロシ
01224	北海道	千歳市	チトセシ
01225	北海道	滝川市	タキカワシ
01226	北海道	砂川市	スナガワシ
01227	北海道	歌志内市	ウタシナイシ
01228	北海道	深川市	フカガワシ
01229	北海道	富良野市	フラノシ
01230	北海道	登別市	ノボリベツシ
01231	北海道	恵庭市	エニワシ
01233	北海道	伊達市	ダテシ
01234	北海道	北広島市	キタヒロシマシ
01235	北海道	石狩市	イシカリシ
01236	北海道	北斗市	ホクトシ
01303	北海道	当別町	トウベツチョウ
01304	北海道	新篠津村	シンシノツムラ
01331	北海道	松前町	マツマエチョウ
01332	北海道	福島町	フクシマチョウ
01333	北海道	知内町	シリウチチョウ
01334	北海道	木古内町	キコナイチョウ
01337	北海道	七飯町	ナナエチョウ
01343	北海道	鹿部町	シカベチョウ
01345	北海道	森町	モリマチ
01346	北海道	八雲町	ヤクモチョウ
01347	北海道	長万部町	オシャマンベチョウ
01361	北海道	江差町	エサシチョウ
01362	北海道	上ノ国町	カミノクニチョウ
01363	北海道	厚沢部町	アッサブチョウ
01364	北海道	乙部町	オトベチョウ
01367	北海道	奥尻町	オクシリチョウ
01370	北海道	今金町	イマカネチョウ
01371	北海道	せたな町	セタナチョウ
01391	北海道	島牧村	シママキムラ
01392	北海道	寿都町	スッツチョウ
01393	北海道	黒松内町	クロマツナイチョウ
01394	北海道	蘭越町	ランコシチョウ
01395	北海道	ニセコ町	ニセコチョウ
01396	北海道	真狩村	マッカリムラ
01397	北海道	留寿都村	ルスツムラ
01398	北海道	喜茂別町	キモベツチョウ
01399	北海道	京極町	キョウゴクチョウ
01400	北海道	倶知安町	クッチャンチョウ
01401	北海道	共和町	キョウワチョウ
01402	北海道	岩内町	イワナイチョウ
01403	北海道	泊村	トマリムラ
01404	北海道	神恵内村	カモエナイムラ
01405	北海道	積丹町	シャコタンチョウ
01406	北海道	古平町	フルビラチョウ
01407	北海道	仁木町	ニキチョウ
01408	北海道	余市町	ヨイチチョウ
01409	北海道	赤井川村	アカイガワムラ
01423	北海道	南幌町	ナンポロチョウ
01424	北海道	奈井江町	ナイエチョウ
01425	北海道	上砂川町	カミスナガワチョウ
01427	北海道	由仁町	ユニチョウ
01428	北海道	長沼町	ナガヌマチョウ
01429	北海道	栗山町	クリヤマチョウ
01430	北海道	月形町	ツキガタチョウ
01431	北海道	浦臼町	ウラウスチョウ
01432	北海道	新十津川町	シントツカワチョウ
01433	北海道	妹背牛町	モセウシチョウ
01434	北海道	秩父別町	チップベツチョウ
01436	北海道	雨竜町	ウリュウチョウ
01437	北海道	北竜町	ホクリュウチョウ
01438	北海道	沼田町	ヌマタチョウ
01452	北海道	鷹栖町	タカスチョウ
01453	北海道	東神楽町	ヒガシカグラチョウ
01454	北海道	当麻町	トウマチョウ
01455	北海道	比布町	ピップチョウ
01456	北海道	愛別町	アイベツチョウ
01457	北海道	上川町	カミカワチョウ
01458	北海道	東川町	ヒガシカワチョウ
01459	北海道	美瑛町	ビエイチョウ
01460	北海道	上富良野町	カミフラノチョウ
01461	北海道	中富良野町	ナカフラノチョウ
01462	北海道	南富良野町	ミナミフラノチョウ
01463	北海道	占冠村	シムカップムラ
01464	北海道	和寒町	ワッサムチョウ
01465	北海道	剣淵町	ケンブチチョウ
01468	北海道	下川町	シモカワチョウ
01469	北海道	美深町	ビフカチョウ
01470	北海道	音威子府村	オトイネップムラ
01471	北海道	中川町	ナカガワチョウ
01472	北海道	幌加内町	ホロカナイチョウ
01481	北海道	増毛町	マシケチョウ
01482	北海道	小平町	オビラチョウ
01483	北海道	苫前町	トママエチョウ
01484	北海道	羽幌町	ハボロチョウ
01485	北海道	初山別村	ショサンベツムラ
01486	北海道	遠別町	エンベツチョウ
01487	北海道	天塩町	テシオチョウ
01511	北海道	猿払村	サルフツムラ
01512	北海道	浜頓別町	ハマトンベツチョウ
01513	北海道	中頓別町	ナカトンベツチョウ
