mcode	city_ja	city_ja_kana	lat	lon
01100	札幌市	さっぽろし	43.062782	141.353599
01101	札幌市中央区	さっぽろしちゅうおうく	43.055085	141.341225
01102	札幌市北区	さっぽろしきたく	43.090836	141.340856
01103	札幌市東区	さっぽろしひがしく	43.076256	141.363572
01104	札幌市白石区	さっぽろししろいしく	43.047474	141.405406
01105	札幌市豊平区	さっぽろしとよひらく	43.031225	141.380079
01106	札幌市南区	さっぽろしみなみく	42.989631	141.353711
01107	札幌市西区	さっぽろしにしく	43.074467	141.300942
01108	札幌市厚別区	さっぽろしあつべつく	43.036358	141.47465
01109	札幌市手稲区	さっぽろしていねく	43.12196	141.245782
01110	札幌市清田区	さっぽろしきよたく	42.999588	141.44385
01202	函館市	はこだてし	41.768749	140.728924
01203	小樽市	おたるし	43.190323	140.994137
01204	旭川市	あさひかわし	43.770394	142.364483
01205	室蘭市	むろらんし	42.315239	140.974038
01206	釧路市	くしろし	42.984815	144.381292
01207	帯広市	おびひろし	42.923913	143.1961
01208	北見市	きたみし	43.803331	143.895186
01209	夕張市	ゆうばりし	43.056729	141.973991
01210	岩見沢市	いわみざわし	43.196208	141.775933
01211	網走市	あばしりし	44.020426	144.273112
01212	留萌市	るもいし	43.940976	141.637015
01213	苫小牧市	とまこまいし	42.634066	141.605539
01214	稚内市	わっかないし	45.415648	141.673096
01215	美唄市	びばいし	43.332851	141.853774
01216	芦別市	あしべつし	43.5181	142.189678
01217	江別市	えべつし	43.10377	141.536686
01218	赤平市	あかびらし	43.558396	142.044544
01219	紋別市	もんべつし	44.356393	143.3544
01220	士別市	しべつし	44.179023	142.400365
01221	名寄市	なよろし	44.355685	142.464231
01222	三笠市	みかさし	43.245524	141.875277
01223	根室市	ねむろし	43.330073	145.582796
01224	千歳市	ちとせし	42.820999	141.649632
01225	滝川市	たきかわし	43.557784	141.910348
01226	砂川市	すながわし	43.494715	141.903395
01227	歌志内市	うたしないし	43.521325	142.034557
01228	深川市	ふかがわし	43.72326	142.053541
01229	富良野市	ふらのし	43.342079	142.383189
01230	登別市	のぼりべつし	42.413282	141.106154
01231	恵庭市	えにわし	42.882592	141.577799
01233	伊達市	だてし	42.471887	140.864679
01234	北広島市	きたひろしまし	42.985705	141.563631
01235	石狩市	いしかりし	43.171365	141.315514
01236	北斗市	ほくとし	41.824576	140.654042
01303	当別町	とうべつちょう	43.22368	141.517078
01304	新篠津村	しんしのつむら	43.225585	141.649924
01331	松前町	まつまえちょう	41.430053	140.110412
01332	福島町	ふくしまちょう	41.483805	140.251332
01333	知内町	しりうちちょう	41.598067	140.419754
01334	木古内町	きこないちょう	41.678428	140.437532
01337	七飯町	ななえちょう	41.895711	140.694405
01343	鹿部町	しかべちょう	42.038545	140.815875
