mcode	pref_ja	lat	lon
01000	北海道	43.064359	141.347449
02000	青森県	40.824294	140.740054
03000	岩手県	39.70353	141.152667
04000	宮城県	38.268737	140.872183
05000	秋田県	39.718175	140.103356
06000	山形県	38.240127	140.362533
07000	福島県	37.750146	140.466754
08000	茨城県	36.341817	140.446796
09000	栃木県	36.56575	139.883526
10000	群馬県	36.391205	139.060917
11000	埼玉県	35.857771	139.647804
12000	千葉県	35.604563	140.123179
13000	東京都	35.689185	139.691648
14000	神奈川県	35.447505	139.642347
15000	新潟県	37.901699	139.022728
16000	富山県	36.695274	137.211302
17000	石川県	36.594729	136.62555
18000	福井県	36.06522	136.221641
19000	山梨県	35.665102	138.568985
20000	長野県	36.651282	138.180972
21000	岐阜県	35.39116	136.722204
22000	静岡県	34.976987	138.383057
23000	愛知県	35.180247	136.906698
24000	三重県	34.730547	136.50861
25000	滋賀県	35.004532	135.868588
26000	京都府	35.0209962	135.7531135
27000	大阪府	34.686492	135.518992
28000	兵庫県	34.69128	135.183087
29000	奈良県	34.685296	135.832745
30000	和歌山県	34.224806	135.16795
31000	鳥取県	35.503463	134.238258
32000	島根県	35.472248	133.05083
33000	岡山県	34.66132	133.934414
34000	広島県	34.396033	132.459595
35000	山口県	34.185648	131.470755
36000	徳島県	34.065732	134.559293
37000	香川県	34.34014	134.04297
38000	愛媛県	33.841649	132.76585
39000	高知県	33.55969	133.530887
40000	福岡県	33.606767	130.418228
41000	佐賀県	33.249367	130.298822
42000	長崎県	32.744542	129.873037
43000	熊本県	32.790385	130.742345
44000	大分県	33.2382	131.612674
45000	宮崎県	31.91109	131.423855
46000	鹿児島県	31.560219	130.557906
47000	沖縄県	26.211538	127.681115
